"","Date","country","searches"
"502","2003-04-27","Chile",2
"503","2003-04-27","France",NA
"504","2003-04-27","Germany",NA
"505","2003-04-27","Hungary",NA
"506","2003-04-27","Japan",NA
"507","2003-04-27","Mexico",NA
"508","2003-04-27","Netherlands",NA
"509","2003-04-27","New.Zealand",NA
"510","2003-04-27","Norway",NA
"511","2003-04-27","Paraguay",NA
"512","2003-04-27","Peru",567
"513","2003-04-27","Poland",NA
"514","2003-04-27","Romania",703
"515","2003-04-27","Russia",NA
"516","2003-04-27","South.Africa",NA
"517","2003-04-27","Spain",NA
"518","2003-04-27","Sweden",NA
"519","2003-04-27","Switzerland",NA
"520","2003-04-27","Ukraine",NA
"521","2003-04-27","United.States",NA
"522","2003-04-27","Uruguay",104
"523","2003-05-04","Argentina",239
"524","2003-05-04","Australia",NA
"525","2003-05-04","Austria",NA
"526","2003-05-04","Belgium",NA
"527","2003-05-04","Bolivia",493
"528","2003-05-04","Brazil",319
"529","2003-05-04","Bulgaria",NA
"530","2003-05-04","Canada",NA
"531","2003-05-04","Chile",4
"532","2003-05-04","France",NA
"533","2003-05-04","Germany",NA
"534","2003-05-04","Hungary",NA
"535","2003-05-04","Japan",NA
"536","2003-05-04","Mexico",NA
"537","2003-05-04","Netherlands",NA
"538","2003-05-04","New.Zealand",NA
"539","2003-05-04","Norway",NA
"540","2003-05-04","Paraguay",NA
"541","2003-05-04","Peru",494
"542","2003-05-04","Poland",NA
"543","2003-05-04","Romania",655
"544","2003-05-04","Russia",NA
"545","2003-05-04","South.Africa",NA
"546","2003-05-04","Spain",NA
"547","2003-05-04","Sweden",NA
"548","2003-05-04","Switzerland",NA
"549","2003-05-04","Ukraine",NA
"550","2003-05-04","United.States",NA
"551","2003-05-04","Uruguay",116
"552","2003-05-11","Argentina",241
"553","2003-05-11","Australia",NA
"554","2003-05-11","Austria",NA
"555","2003-05-11","Belgium",NA
"556","2003-05-11","Bolivia",560
"557","2003-05-11","Brazil",336
"558","2003-05-11","Bulgaria",NA
"559","2003-05-11","Canada",NA
"560","2003-05-11","Chile",3
"561","2003-05-11","France",NA
"562","2003-05-11","Germany",NA
"563","2003-05-11","Hungary",NA
"564","2003-05-11","Japan",NA
"565","2003-05-11","Mexico",NA
"566","2003-05-11","Netherlands",NA
"567","2003-05-11","New.Zealand",NA
"568","2003-05-11","Norway",NA
"569","2003-05-11","Paraguay",NA
"570","2003-05-11","Peru",456
"571","2003-05-11","Poland",NA
"572","2003-05-11","Romania",657
"573","2003-05-11","Russia",NA
"574","2003-05-11","South.Africa",NA
"575","2003-05-11","Spain",NA
"576","2003-05-11","Sweden",NA
"577","2003-05-11","Switzerland",NA
"578","2003-05-11","Ukraine",NA
"579","2003-05-11","United.States",NA
"580","2003-05-11","Uruguay",122
"581","2003-05-18","Argentina",232
"582","2003-05-18","Australia",NA
"583","2003-05-18","Austria",NA
"584","2003-05-18","Belgium",NA
"585","2003-05-18","Bolivia",539
"586","2003-05-18","Brazil",361
"587","2003-05-18","Bulgaria",NA
"588","2003-05-18","Canada",NA
"589","2003-05-18","Chile",1
"590","2003-05-18","France",NA
"591","2003-05-18","Germany",NA
"592","2003-05-18","Hungary",NA
"593","2003-05-18","Japan",NA
"594","2003-05-18","Mexico",NA
"595","2003-05-18","Netherlands",NA
"596","2003-05-18","New.Zealand",NA
"597","2003-05-18","Norway",NA
"598","2003-05-18","Paraguay",NA
"599","2003-05-18","Peru",450
"600","2003-05-18","Poland",NA
"601","2003-05-18","Romania",639
"602","2003-05-18","Russia",NA
"603","2003-05-18","South.Africa",NA
"604","2003-05-18","Spain",NA
"605","2003-05-18","Sweden",NA
"606","2003-05-18","Switzerland",NA
"607","2003-05-18","Ukraine",NA
"608","2003-05-18","United.States",NA
"609","2003-05-18","Uruguay",119
"610","2003-05-25","Argentina",251
"611","2003-05-25","Australia",NA
"612","2003-05-25","Austria",NA
"613","2003-05-25","Belgium",NA
"614","2003-05-25","Bolivia",547
"615","2003-05-25","Brazil",385
"616","2003-05-25","Bulgaria",NA
"617","2003-05-25","Canada",NA
"618","2003-05-25","Chile",1
"619","2003-05-25","France",NA
"620","2003-05-25","Germany",NA
"621","2003-05-25","Hungary",NA
"622","2003-05-25","Japan",NA
"623","2003-05-25","Mexico",NA
"624","2003-05-25","Netherlands",NA
"625","2003-05-25","New.Zealand",NA
"626","2003-05-25","Norway",NA
"627","2003-05-25","Paraguay",NA
"628","2003-05-25","Peru",441
"629","2003-05-25","Poland",NA
"630","2003-05-25","Romania",613
"631","2003-05-25","Russia",NA
"632","2003-05-25","South.Africa",NA
"633","2003-05-25","Spain",NA
